Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто,Адреса,Телефон,Email
Деревʼянко,Одарка,Захарівна,female,1951-09-13,Астроном,село Таврійськ,"узвіз Першотравневий 2-й, буд. 28, Кремінна, 19057",+380 (17) 342-40-31,roman99@example.com
Шаповал,Вікторія,Ааронівна,female,1994-03-03,Історик,селище Пирятин,"узвіз Більшовицький, буд. 92 кв. 38, Гірське, 41339",+380 (43) 388-48-09,hnalyvaiko@example.net
Баштан,Трохим,Арсенович,male,1951-12-06,Гінеколог,селище Долинська,"вулиця Анни Ахматової, буд. 46, Перевальськ, 25972",257 53 20,ivansvyrydenko@example.net
Калениченко,Ірена,Валеріївна,female,1952-12-13,Гінеколог,село Носівка,"набережна Деревообробний 2-й, буд. 8, Вільнянськ, 06682",776 62 46,andriiovychkhrystyna@example.org
Сірченко,Тетяна,Августинівна,female,1968-05-30,Психолог,місто Великі Мости,"проспект Колонтаївська, буд. 4, Ківерці, 09857",+380 (92) 199-85-37,cherednykavhustyn@example.net
Гайдабура,Онисим,Віталійович,male,1988-07-29,Золотар,хутір Болехів,"вулиця Рекордний, буд. 907 кв. 83, Охтирка, 33707",+380 13 392 85 50,ydubenko@example.com
Захарченко,Гордій,Микитович,male,1993-01-26,Фотограф,селище Ковель,"сквер Топольського, буд. 7 кв. 1, Зимогір'я, 23439",008 508 09 06,osirobaba@example.com
Сиротенко,Надія,Спасівна,female,1975-12-19,Кінолог,хутір Зимогір'я,"набережна Кипарисний 1-й, буд. 846 кв. 7, Джанкой, 53152",003 332 48 27,alinaadamchuk@example.com
Гайдай,Ярослав,Азарович,male,1977-03-15,Кур'єр,селище Ізюм,"шосе Раїси Сергієнко, буд. 96, Мала Виска, 97512",+380 77 250 75 50,fhabelko@example.org
Масоха,Альбіна,Алевтинівна,female,1946-10-19,Скульптор,хутір Люботин,"сквер Тимірязєва 4-й, буд. 0 кв. 174, Південне , 44200",706-42-95,mykhailotalan@example.org
Бездітко,Василь,Богданович,male,1989-05-23,Астрофізик,село Сєвєродонецьк,"шосе Єфімова, буд. 38 кв. 43, Золоте, 29371",056 066-45-39,serhiisuprunenko@example.com
Орлик,Єлисей,Богодарович,male,1994-05-27,Науковець,село Умань,"вулиця Паркова, буд. 512, Шумськ, 79284",+380 49 720-26-31,arkadiieibozhenko@example.org
Михайличенко,Богуслав,Ааронович,male,1961-06-11,Секретар,селище Радомишль,"вулиця Луцька, буд. 8 кв. 6, Щастя , 82266",474 15 38,davydenkorostyslav@example.net
Шморгун,Пріска,Веніяминівна,female,1987-08-18,Фармацевт,хутір Керч,"узвіз Тепличний 2-й, буд. 51 кв. 8, Тячів, 71838",+380 60 358 91 17,dorobets@example.net
Архипенко,Орина,Станіславівна,female,1972-05-24,Геолог,селище Лубни,"сквер Тимірязєва 5-й, буд. 142 кв. 875, Берестечко, 20099",073-28-66,gchumachenko@example.com
Архипенко,Назар,Богуславович,male,1989-10-04,Палеонтолог,селище Вознесенськ,"сквер Виноградна 2-га, буд. 869, Таврійськ, 73328",+380 36 271 82 31,mykhailo28@example.org
Приймак,Богодар,Степанович,male,1963-05-18,Шериф,селище Дубровиця,"вулиця Давида Ойстраха, буд. 2, Нововолинськ, 56302",006 381-59-06,fedir29@example.net
Опанасенко,Роксолана,Іллівна,female,1940-11-01,Випробувач,селище Галич,"вулиця Савицький, буд. 76, Олександрія, 01278",663 52 22,teodorizhak@example.net
Саченко,Данна,Аркадіївна,female,1993-07-07,Паралегал,селище Білгород-Дністровський,"проспект Академіка Воробйова, буд. 250, Тернівка , 83619",+380 99 629-19-73,skyrdaolha@example.net
Дубенко,Сергій,Євгенійович,male,1975-09-13,Медик,село Федорівка,"набережна Морехідний, буд. 926, Одеса, 19927",+380 33 734-53-60,lavrenkoiryna@example.net
Міщенко,Данна,Андріївна,female,1957-04-09,Клавішник,село Вінниця,"сквер Сєрова, буд. 01, Малин, 13797",282 66 63,wvakulenko@example.org
Стельмах,Маруся,Владиславівна,female,1960-01-26,Геолог,місто Білопілля,"шосе Восьмого березня узвіз, буд. 622 кв. 7, Кременець, 74308",058 868 65 51,zabaraleontii@example.com
Міщенко,Йосип,Аврелійович,male,1991-09-10,Педагог,місто Верхівцеве,"парк Бригадна, буд. 643, Носівка, 44854",050 567 08 43,halyna23@example.net
Теличенко,Святослав,Андрійович,male,1996-09-14,Дерун,селище Нова Каховка,"площа Польова, буд. 2, Родинське, 90470",+380 05 376-08-53,mgzhytska@example.com
Гайдай,Ігор,Павлович,male,1982-05-06,Стиліст,селище Шостка,"площа Композитора Глинки, буд. 594, Нове Давидково, 31606",+380 (24) 654-15-18,ielyseikanivets@example.com
Авраменко,Марта,Теодорівна,female,1997-04-22,Бібліотекар,місто Біляївка,"провулок Східчастий 3-й, буд. 431 кв. 152, Жовква, 07395",092 784-40-10,albertabramenko@example.com
Джунь,Ірина,Ігорівна,female,1948-07-18,Філолог,місто Судова Вишня,"набережна Нежданової, буд. 0, Баранівка, 32091",+380 57 922-52-06,dmytrodrozdenko@example.com
Полтавець,Мартин,Аркадійович,male,1953-07-24,Єгер,селище Щолкіне,"шосе Альпіністів, буд. 195 кв. 90, Лебедин, 74088",847-21-27,bebeshkoleopold@example.net
Шахрай,Ада,Ростиславівна,female,1939-07-19,Менеджер,місто Чигирин,"сквер 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 57, Тульчин, 96719",+380 (33) 871-72-03,ldrozd@example.com
Юрчук,Ростислав,Леонтійович,male,1963-02-01,Професор,хутір Вільногірськ,"узвіз Пейзажна, буд. 3 кв. 21, Борислав, 05711",731 51 68,fdrobiazko@example.com
Гаврилишин,Леонід,Богуславович,male,1994-03-21,Антрополог,село Богуслав,"шосе Короткий, буд. 581, Мостиська, 52116",482 93 43,varvaravlasenko@example.org
Тесленко,Аліна,Олегівна,female,1975-04-13,Підприємець,село Валки ,"парк Новікова 2-га, буд. 5 кв. 9, Почаїв, 78573",+380 72 735 31 44,irynashvedchenko@example.net
Барабаш,Кирило,Олександрович,male,2008-08-26,Намотувальник,селище Вишневе ,"вулиця Середньофонтанський, буд. 03, Хирів, 66886",069 530 53 01,atelychenko@example.net
Заєць,Остап,Сергійович,male,2005-05-21,Літературознавець,селище Бершадь,"проспект Лузанівська, буд. 22, Жовті Води, 81249",+380 45 151-69-36,iustymdubas@example.com
Аронець,Василина,Данилівна,female,1970-06-20,Драматург,селище Носівка,"провулок Радіальний, буд. 979, Зоринськ, 03779",056 982 37 28,glubenets@example.com
Тичина,Ігор,Петрович,male,1996-10-13,Драматург,хутір Старий Самбір,"шосе Удільний, буд. 57, Снятин, 94279",+380 11 182-55-59,spasshmorhun@example.org
Ємець,Антон,Вадимович,male,1964-03-26,Електромонтер,місто Берегове,"узвіз Новоселів, буд. 7, Новодружеськ, 60563",004 871-89-36,iarema76@example.com
Цюцюра,Ірена,Лесівна,female,1972-11-23,Реабілітолог,селище Красноград,"шосе Маячний, буд. 66, Запоріжжя, 02539",261-96-93,udatsiuk@example.net
Ґалаґан,Святослава,Георгіївна,female,1953-08-26,Архітектор,село Запоріжжя,"узвіз Асєєва Юрія, буд. 6, Бібрка, 66968",+380 85 514-15-58,msalii@example.org
Хомик,Пріска,Устимівна,female,1999-11-03,Журналіст,селище Хрустальний,"парк Кишинівська, буд. 114, Новоселиця, 55768",+380 68 137-15-11,mzabarnyi@example.net
